filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
blues.00000.wav_segment_0,0.33555517,0.1301892,1773.358004144261,1972.3342580282888,3714.063439002404,0.08185096153846154,-119.01804,125.08035,-23.394335,41.32173,-5.931896,20.09275,-16.031523,17.811024,-14.643774,10.218312,-9.701553,10.16898,-4.6726675,8.364334,-7.225304,-2.881668,-3.230046,0.6963852,-5.035945,-0.23958503,blues
blues.00000.wav_segment_1,0.34352323,0.11211886,1817.2440336954328,2010.7514935628776,3870.510441706731,0.08717322716346154,-125.97715,122.37419,-20.679749,50.03504,-11.2506895,21.386396,-15.864703,19.41863,-12.440534,17.86254,-11.664177,8.132217,-7.7003174,8.368317,-8.258326,4.0506644,-6.025472,0.12713084,-2.8089564,5.7718806,blues
blues.00000.wav_segment_2,0.3477464,0.13089524,1790.7223576695696,2088.184749958742,4000.206580528846,0.07138296274038461,-132.61815,114.81552,-14.718568,50.017944,-0.42487815,24.517357,-13.4019375,15.444255,-13.006782,10.309508,-7.841253,11.8116455,-4.5547194,6.4465866,-2.351675,4.7307525,-1.7144754,2.329553,-1.9256207,2.4669962,blues
blues.00000.wav_segment_3,0.36386254,0.13134935,1660.5452307626717,1967.9205817649454,3579.149639423077,0.06942608173076924,-118.325325,131.58717,-18.493637,39.478863,-12.992122,20.173027,-14.325366,18.541624,-13.470632,12.837084,-12.472594,10.225342,-4.3053913,8.940403,-9.834754,-1.45431,-3.7869864,1.1533154,-3.5019794,3.5806363,blues
blues.00000.wav_segment_4,0.3354805,0.14237021,1634.4650759291028,1954.6335660386983,3480.096905048077,0.07010216346153846,-106.182106,134.27596,-19.761965,39.920498,-14.074066,18.501814,-15.40016,19.148363,-17.971155,14.170512,-5.7721343,16.828094,-5.638571,5.6943846,-7.958975,2.0537438,0.63579756,1.5911069,-3.364908,0.5015041,blues
blues.00000.wav_segment_5,0.37428713,0.13146591,1996.0176506059315,2154.3785169412786,4373.973294771635,0.09242037259615385,-101.128334,111.414185,-13.551289,47.09595,-12.244084,19.657393,-13.511521,15.266536,-12.353834,12.266332,-10.326734,9.364186,-3.4029248,6.6294255,-6.9848127,2.0912726,-3.4614234,-0.45012406,-3.6436963,3.0159922,blues
blues.00000.wav_segment_6,0.3809558,0.12951674,1962.1393851867554,2146.576085202483,4324.778207632212,0.0895733173076923,-102.14361,117.07518,-20.8095,42.741814,-9.854761,22.878763,-16.27334,18.460712,-16.078514,15.27457,-10.369644,11.518102,-7.951739,7.3770285,-5.7073145,4.8194213,-2.1043992,1.4163414,-3.2122114,3.3675208,blues
blues.00000.wav_segment_7,0.33267486,0.1397066,1703.3712331138165,1984.0458950313682,3627.4337064302886,0.07093599759615385,-109.28777,127.4741,-19.941677,38.59245,-12.507809,17.56384,-16.2724,16.533377,-17.296988,11.553486,-9.0566435,11.477715,-4.235405,7.4145885,-4.9288564,3.1510127,-3.5576887,-0.10622899,-1.9582876,0.24711533,blues
blues.00000.wav_segment_8,0.34845924,0.13226987,1749.640820778112,1894.017385511205,3592.5664813701924,0.08766902043269231,-113.394844,128.62973,-30.97069,42.671093,-5.6582646,19.641369,-18.127089,17.9268,-12.894988,13.527609,-10.30708,8.070279,-7.081854,5.843057,-9.761064,-0.36774233,-4.2566533,2.0836146,-2.1844566,3.7024765,blues
blues.00000.wav_segment_9,0.35989106,0.11440618,1767.4908015454273,1879.7824963221415,3512.810809795673,0.10177659254807692,-125.59409,126.387215,-32.067448,53.246815,-1.4587224,23.307331,-19.76749,15.20859,-13.45326,11.209064,-14.913754,9.17604,-4.439535,9.617393,-4.2770104,6.5811553,-3.3299143,0.09483079,-7.586963,0.7722197,blues
blues.00001.wav_segment_0,0.4017773,0.09246995,1280.783900790562,1921.7466622114312,2894.393780048077,0.03956580528846154,-266.53107,116.67671,17.117645,45.66341,15.807183,24.914494,-1.1644391,23.793524,-1.4512695,11.245294,0.5515252,9.92649,0.81666106,5.2523727,-3.0055735,1.6224799,1.2956789,0.11645807,-0.8429117,0.386533,blues
blues.00001.wav_segment_1,0.34619915,0.09397031,1517.4623714462116,2097.8396345573206,3483.2440655048076,0.04999248798076923,-202.14558,128.56398,9.200203,36.04025,-8.335864,20.41953,-14.087521,30.190586,-14.848853,11.323791,-7.3705444,12.745098,-1.9089217,13.345234,-2.5753806,3.484158,-4.7576895,-2.0623553,-0.12457212,-1.4771764,blues
blues.00001.wav_segment_2,0.33790728,0.097317606,1313.8724289126842,1517.7174229178004,2560.5463115985576,0.07730243389423076,-197.23317,150.33276,-32.0591,44.978706,9.588902,10.970157,-7.208317,20.680897,-4.2792,11.601729,-5.0150886,1.9568105,-6.922445,0.26809755,-10.299161,-4.719649,4.5673275,4.685165,-1.3543277,2.1051598,blues
blues.00001.wav_segment_3,0.33110937,0.08516866,1482.6529952738265,1912.78476617212,3232.879169170673,0.055885667067307694,-228.43953,135.80325,0.4882655,32.309437,4.1648192,29.942942,-10.361608,19.184011,-11.121745,12.923997,-5.0954137,8.275437,-6.676665,0.55026,-5.686752,4.5822964,-0.9504843,-1.9479976,-4.2966957,-2.456732,blues
blues.00001.wav_segment_4,0.35175356,0.08781326,1731.3952796598264,2152.7477487430783,4102.240835336538,0.06530198317307692,-205.73892,123.60128,2.467806,32.60523,-4.52634,26.622765,-18.444235,27.31236,-15.583834,16.855022,1.1294934,16.576632,-3.701717,3.7751615,-9.003138,5.3281064,0.14190063,-0.0961907,-3.05526,2.825436,blues
blues.00001.wav_segment_5,0.32934305,0.09258585,1494.575167693991,2192.000818116939,3689.71435546875,0.03781174879807692,-224.07617,123.816284,21.10332,40.336697,-2.5244925,28.11982,-11.519877,26.633541,-15.26348,15.059729,-15.305635,5.918176,-1.4787428,4.7371,-8.874643,3.4764178,-1.0643965,-0.2924462,-0.59720635,2.4657547,blues
blues.00001.wav_segment_6,0.34351936,0.08947128,1573.1729332034652,2186.3589415521665,3840.529597355769,0.05181039663461538,-220.09703,122.35996,14.6028185,43.141724,2.6771927,25.410223,-12.610725,24.308117,-14.719823,18.411385,-13.139498,4.701149,-1.722283,7.204242,-8.129556,2.1726274,-0.6255849,-0.9300465,-3.20976,1.7508174,blues
blues.00001.wav_segment_7,0.3286374,0.109821714,1884.038211722182,2335.415698930751,4540.027418870192,0.07060171274038461,-170.26183,113.99045,14.703892,32.571224,-8.03314,25.66095,-13.752133,26.655703,-16.42555,17.741957,-10.850667,3.8336349,-4.3061895,7.0590925,-7.190063,2.2612436,-4.7614837,1.1524607,-1.0859352,-0.6194586,blues
blues.00001.wav_segment_8,0.32996443,0.110379286,1669.6777415329318,2174.0909260977232,3982.648737980769,0.05913461538461538,-165.95361,123.84604,5.651572,41.729267,-8.9217415,22.210302,-15.815079,32.915653,-18.098228,13.618321,-12.472373,3.0863104,-5.41268,7.7614717,-8.144817,2.1069806,-6.771123,6.570967,5.9353213,2.6199389,blues
blues.00001.wav_segment_9,0.29436076,0.09439046,1378.0660447872626,1935.8164157058022,3199.751164362981,0.047119140625,-218.1175,133.39066,5.1199455,37.58229,0.55897367,26.08876,-5.215982,24.497036,-10.00912,9.531547,-5.75367,2.994193,-5.80169,4.7141523,-8.039096,-1.2397057,-2.5680637,3.041578,-0.44520876,2.4763763,blues
blues.00002.wav_segment_0,0.37058383,0.15081692,1677.6989226693167,1795.7433605027672,3300.7915790264424,0.07798602764423077,-114.70075,129.31042,-25.68705,34.934654,-17.62577,27.660404,-16.622725,4.9843035,-13.170805,5.4134426,-17.335546,1.8933555,-8.801988,-3.9905324,-9.495915,2.9161434,-7.1814256,-2.9043207,-2.0622091,-4.316792,blues
